iter	Logloss
0	0.670512956
1	0.6528294616
2	0.631216811
3	0.6142454938
4	0.5964537294
5	0.5818385723
6	0.5711988238
7	0.5571750374
8	0.5453976606
9	0.5334724403
10	0.5223057649
11	0.5123748533
12	0.5027751767
13	0.4936834975
14	0.4869397586
15	0.4777903943
16	0.4718885402
17	0.4656054872
18	0.4597002276
19	0.4530854005
20	0.4478142149
21	0.4435627449
22	0.4381571174
23	0.4334048256
24	0.4285367491
25	0.4247182851
26	0.4207731658
27	0.4178223244
28	0.4134747302
29	0.4111672428
30	0.4088974017
31	0.405604783
32	0.4030178054
33	0.3998281765
34	0.397218654
35	0.3948359997
36	0.3925663889
37	0.3900501942
38	0.3878780714
39	0.3852687798
40	0.3839986671
41	0.382479427
42	0.3802261013
43	0.3779120747
44	0.3757262954
45	0.3734234405
46	0.371538033
47	0.3703996773
48	0.3689959431
49	0.3674834079
50	0.3659663618
51	0.3645338277
52	0.3634795988
53	0.3618010188
54	0.3605652283
55	0.3597007803
56	0.3587174068
57	0.3572426242
58	0.3558474059
59	0.3550261084
60	0.3537678629
61	0.3523966893
62	0.3512677879
63	0.3502991224
64	0.3495332583
65	0.3487408483
66	0.3483107984
67	0.3471125695
68	0.3465432435
69	0.345734448
70	0.3448188666
71	0.3437657664
72	0.3425522865
73	0.3417598585
74	0.3408129346
75	0.3401601984
76	0.3390747384
77	0.3383367594
78	0.3376259022
79	0.3365731589
80	0.3361396222
81	0.3356918526
82	0.3350274012
83	0.3345271781
84	0.3334889845
85	0.3330163016
86	0.332545592
87	0.3318672711
88	0.3310906981
89	0.3304459058
90	0.3298034231
91	0.3289457534
92	0.3284714782
93	0.3277722144
94	0.3269369471
95	0.3261817235
96	0.3255281811
97	0.3246513601
98	0.3243641336
99	0.3239050906
100	0.3233569317
101	0.3226323503
102	0.322128731
103	0.321759639
104	0.3212764479
105	0.3209473657
106	0.3205164196
107	0.3201094596
108	0.3194994062
109	0.3188758355
110	0.318410734
111	0.3180938983
112	0.3176427328
113	0.3171031981
114	0.3168017161
115	0.3162971689
116	0.3160398491
117	0.3156605894
118	0.3153270627
119	0.3147882933
120	0.3145012639
121	0.314129977
122	0.3139078734
123	0.3135262868
124	0.3131778417
125	0.3127951876
126	0.3122625832
127	0.3119425197
128	0.3116038294
129	0.3113821542
130	0.3109174079
131	0.3105374508
132	0.3100335296
133	0.3096818146
134	0.309372626
135	0.3088524574
136	0.3085826518
137	0.3083395004
138	0.3080008735
139	0.307566861
140	0.3069876448
141	0.306538465
142	0.3061541912
143	0.3058376491
144	0.3054347582
145	0.3050377791
146	0.3046898127
147	0.304323226
148	0.3039408807
149	0.30365602
150	0.3033497471
151	0.3031856099
152	0.3028807213
153	0.3023630725
154	0.3021077284
155	0.3018690137
156	0.3013958522
157	0.3009808748
158	0.3007043679
159	0.3004813983
160	0.3001586249
161	0.2999218505
162	0.2997342878
163	0.2994538138
164	0.2990160504
165	0.2987506491
166	0.2985960943
167	0.2983466396
168	0.2979028743
169	0.2976024909
170	0.2973935227
171	0.2970996552
172	0.2967857694
173	0.2966312144
174	0.2963629656
175	0.2961166981
176	0.2959763967
177	0.2957609293
178	0.2955502381
179	0.2952641283
180	0.2950776911
181	0.294864345
182	0.2946207945
183	0.2943172301
184	0.2940066157
185	0.2937622536
186	0.2934832782
187	0.2933535259
188	0.2931037586
189	0.2929121345
190	0.2927013442
191	0.2923418886
192	0.291889657
193	0.2914767434
194	0.2913057003
195	0.2909904384
196	0.2908431107
197	0.2906563243
198	0.2903589518
199	0.2900569609
200	0.2899656541
201	0.2897204136
202	0.2895973482
203	0.2893834001
204	0.2890433111
205	0.2887376299
206	0.2885695686
207	0.288203289
208	0.288049925
209	0.2877979303
210	0.2876238423
211	0.2875097158
212	0.2873449728
213	0.2870758317
214	0.2868615447
215	0.2867004758
216	0.2864829631
217	0.286228049
218	0.2859423202
219	0.2857827089
220	0.28565638
221	0.28547043
222	0.2852135356
223	0.2849426565
224	0.2848058766
225	0.2844934792
226	0.2841200621
227	0.28398613
228	0.2836869332
229	0.2834822202
230	0.2832859378
231	0.2831339661
232	0.2829331641
233	0.2827144276
234	0.2824601406
235	0.2822664206
236	0.2821542864
237	0.281880094
238	0.2815593487
239	0.2813771407
240	0.2812005039
241	0.2809955825
242	0.2805204144
243	0.2802000167
244	0.2799453379
245	0.2797271534
246	0.2795522031
247	0.2793684985
248	0.2791288187
249	0.2789947709
250	0.278840011
251	0.2786473418
252	0.2783959952
253	0.2781659755
254	0.2779800975
255	0.2778543745
256	0.2776097556
257	0.2773773916
258	0.2771761513
259	0.277047336
260	0.2768756221
261	0.2767537757
262	0.276506218
263	0.2763910557
264	0.2762392248
265	0.2759750258
266	0.2758537911
267	0.2756286265
268	0.2755151907
269	0.2752614995
270	0.2750278872
271	0.2747696068
272	0.2746120793
273	0.2742776846
274	0.2741482443
275	0.2739714086
276	0.2738616371
277	0.2737517767
278	0.2735697638
279	0.2733869374
280	0.2732603273
281	0.2730357446
282	0.2727940421
283	0.2726279976
284	0.2724458777
285	0.2722696998
286	0.2721470622
287	0.2719266837
288	0.2717737923
289	0.2716768414
290	0.2714584948
291	0.271302845
292	0.2709949679
293	0.2708630822
294	0.2707544903
295	0.2705984358
296	0.2704817392
297	0.2703239545
298	0.2701145747
299	0.2700047112
300	0.269787
301	0.2694449
302	0.2692523283
303	0.2689869563
304	0.2687898869
305	0.2685844519
306	0.2683805123
307	0.2681700561
308	0.2680489842
309	0.2678360762
310	0.2675984853
311	0.2672451387
312	0.2670016683
313	0.2668034017
314	0.2666251308
315	0.2664323098
316	0.2663636525
317	0.2661499222
318	0.2659986205
319	0.2658371815
320	0.2656413054
321	0.2654692506
322	0.2653129703
323	0.2651513922
324	0.2648904905
325	0.2647743803
326	0.2646557095
327	0.2644607378
328	0.2642247317
329	0.2640911392
330	0.2638682296
331	0.2636318907
332	0.2634627734
333	0.2633374535
334	0.2632470396
335	0.2630736667
336	0.2628534622
337	0.2626908965
338	0.262460566
339	0.2621754678
340	0.2620165849
341	0.2617637242
342	0.2615452979
343	0.2614155887
344	0.2612305844
345	0.2609976618
346	0.2606953188
347	0.2604691402
348	0.2603086995
349	0.2601345383
350	0.2599263104
351	0.2598268619
352	0.2596585379
353	0.259455581
354	0.2591589529
355	0.258986679
356	0.2587737716
357	0.2586029577
358	0.2584353521
359	0.2582727452
360	0.2581074611
361	0.257951419
362	0.2577649595
363	0.2575524891
364	0.2574093341
365	0.2572135459
366	0.2571213964
367	0.2569047447
368	0.2567072751
369	0.2563778722
370	0.256058002
371	0.255800334
372	0.2556065695
373	0.2553627373
374	0.2551951091
375	0.2550014925
376	0.2548241668
377	0.2547026225
378	0.2545547192
379	0.2542926667
380	0.2541871464
381	0.2539865262
382	0.2537847206
383	0.2536995385
384	0.2534475888
385	0.2533125218
386	0.253099762
387	0.2529119174
388	0.2527499526
389	0.2526570596
390	0.2524642815
391	0.2522254589
392	0.2520409791
393	0.251906019
394	0.2517097169
395	0.2515714591
396	0.2514324789
397	0.2512997989
398	0.2511106695
399	0.2509196894
400	0.2506631092
401	0.2504745936
402	0.2500452033
403	0.2498495421
404	0.249648171
405	0.2494163673
406	0.2492741224
407	0.2490833905
408	0.2489489577
409	0.248786182
410	0.248687918
411	0.2485689159
412	0.2483887941
413	0.2482652505
414	0.2481235534
415	0.2479859958
416	0.2478082548
417	0.2476790979
418	0.2475470138
419	0.2472627621
420	0.2471266089
421	0.2469922705
422	0.2467503501
423	0.2465226205
424	0.2462958432
425	0.2461697288
426	0.245915944
427	0.245707963
428	0.2455209462
429	0.2453718166
430	0.245145042
431	0.2450216586
432	0.2448664465
433	0.2446735138
434	0.244498938
435	0.2443402596
436	0.2441752613
437	0.2440264981
438	0.2436539025
439	0.2434597792
440	0.2432841526
441	0.2431003814
442	0.2430021619
443	0.2427691391
444	0.2425243821
445	0.2423558971
446	0.2422098866
447	0.2419569785
448	0.2416827035
449	0.2415264056
450	0.2413582775
451	0.2411129533
452	0.2409040185
453	0.240674051
454	0.2405328966
455	0.2403326153
456	0.2402376253
457	0.2400823694
458	0.2399120398
459	0.2396567184
460	0.239467329
461	0.2392577385
462	0.2391067456
463	0.2389336008
464	0.2387826296
465	0.2386146491
466	0.2384909092
467	0.2383478334
468	0.2380796587
469	0.2379580681
470	0.2377416605
471	0.2375541126
472	0.2374007556
473	0.2372138302
474	0.2369253101
475	0.2367486311
476	0.2366321894
477	0.2364298502
478	0.2362257903
479	0.2360018964
480	0.2358886629
481	0.2357428284
482	0.2355379439
483	0.2354018369
484	0.2351974947
485	0.235045245
486	0.2349215118
487	0.2347252711
488	0.2345721305
489	0.2344062756
490	0.2342615849
491	0.2339808479
492	0.2338793673
493	0.2337099405
494	0.2335138471
495	0.2333163051
496	0.2331456428
497	0.232985285
498	0.232779828
499	0.2326332177
500	0.2324596053
501	0.2323479094
502	0.2321820332
503	0.232068237
504	0.2319253742
505	0.2316564545
506	0.2314978582
507	0.231315617
508	0.2311220846
509	0.2309537169
510	0.2307818621
511	0.2305955552
512	0.230444163
513	0.2302615598
514	0.2300830685
515	0.2299562726
516	0.2297322865
517	0.2296072127
518	0.2294549985
519	0.2292674548
520	0.2290430314
521	0.2289169215
522	0.2287739345
523	0.2285766806
524	0.228253858
525	0.2281525831
526	0.2280521629
527	0.2278941253
528	0.2277908911
529	0.2276350311
530	0.2274994654
531	0.2273431223
532	0.2270698155
533	0.2269498163
534	0.2267523301
535	0.2265853046
536	0.2263340897
537	0.2260939534
538	0.2259830595
539	0.2257518653
540	0.2256589882
541	0.2255096838
542	0.225361489
543	0.225144066
544	0.2249692844
545	0.2248070169
546	0.2245842009
547	0.2243755023
548	0.2242005458
549	0.2240160678
550	0.2238478632
551	0.2236726745
552	0.2235119235
553	0.2234060605
554	0.2231753612
555	0.2228210724
556	0.2225871196
557	0.2224178094
558	0.2222146722
559	0.2221113266
560	0.2219051472
561	0.2218018972
562	0.2216147158
563	0.2213905553
564	0.2212431809
565	0.221014863
566	0.2208502976
567	0.2207698018
568	0.2205064528
569	0.220400412
570	0.2201296295
571	0.2199903662
572	0.2198098993
