iter	Passed	Remaining
0	3	3506
1	8	3974
2	12	4092
3	16	4052
4	20	3927
5	25	4028
6	30	4145
7	34	4166
8	39	4216
9	43	4168
10	48	4240
11	53	4251
12	58	4279
13	63	4296
14	67	4285
15	72	4298
16	76	4281
17	81	4267
18	85	4272
19	90	4275
20	95	4275
21	99	4274
22	104	4285
23	109	4270
24	113	4259
25	117	4246
26	122	4249
27	127	4243
28	131	4248
29	137	4280
30	142	4295
31	147	4302
32	152	4300
33	157	4299
34	162	4295
35	166	4289
36	171	4287
37	176	4293
38	215	5110
39	245	5667
40	251	5660
41	256	5627
42	261	5594
43	267	5582
44	272	5563
45	278	5542
46	284	5538
47	290	5546
48	297	5541
49	302	5518
50	307	5494
51	315	5532
52	324	5571
53	329	5554
54	334	5529
55	339	5500
56	344	5471
57	349	5449
58	353	5419
59	358	5392
60	362	5366
61	367	5339
62	371	5312
63	376	5286
64	381	5269
65	385	5245
66	389	5203
67	393	5181
68	399	5172
69	404	5163
70	410	5151
71	416	5148
72	421	5133
73	426	5118
74	431	5106
75	436	5089
76	441	5079
77	446	5060
78	451	5051
79	456	5034
80	460	5016
81	465	5000
82	470	4986
83	475	4973
84	480	4964
85	484	4944
86	488	4923
87	493	4907
88	498	4892
89	502	4876
90	507	4861
91	511	4843
92	516	4832
93	521	4822
94	526	4808
95	530	4794
96	535	4777
97	539	4761
98	544	4753
99	549	4741
100	553	4727
101	558	4714
102	562	4699
103	566	4682
104	571	4667
105	576	4659
106	580	4644
107	584	4630
108	589	4617
109	593	4605
110	598	4592
111	602	4576
112	606	4564
113	611	4555
114	616	4545
115	621	4535
116	626	4526
117	629	4510
118	634	4499
119	638	4488
120	643	4476
121	647	4464
122	651	4452
123	656	4441
124	660	4430
125	665	4418
126	669	4406
127	674	4398
128	678	4386
129	682	4375
130	686	4362
131	691	4354
132	695	4343
133	700	4332
134	704	4321
135	709	4312
136	713	4301
137	717	4290
138	722	4280
139	726	4271
140	731	4262
141	735	4252
142	740	4244
143	744	4234
144	748	4224
145	753	4214
146	757	4205
147	761	4195
148	766	4185
149	770	4177
150	775	4168
151	779	4158
152	783	4149
153	788	4141
154	792	4131
155	796	4122
156	801	4113
157	806	4106
158	810	4097
159	814	4089
160	819	4080
161	823	4073
162	828	4065
163	833	4058
164	841	4069
165	845	4058
166	849	4050
167	854	4043
168	858	4034
169	862	4024
170	867	4018
171	872	4013
172	877	4005
173	881	3997
174	901	4061
175	906	4052
176	910	4042
177	914	4033
178	919	4025
179	924	4019
180	928	4013
181	933	4005
182	937	3997
183	942	3990
184	946	3981
185	952	3977
186	956	3968
187	960	3959
188	964	3950
189	969	3943
190	973	3935
191	977	3925
192	982	3919
193	986	3911
194	991	3904
195	996	3899
196	1000	3891
197	1004	3882
198	1009	3874
199	1013	3866
200	1018	3860
201	1022	3851
202	1026	3844
203	1031	3838
204	1036	3832
205	1041	3826
206	1045	3818
207	1058	3843
208	1063	3835
209	1067	3828
210	1072	3820
211	1076	3812
212	1080	3805
213	1085	3798
214	1089	3791
215	1093	3782
216	1098	3776
217	1102	3769
218	1107	3763
219	1111	3754
220	1117	3750
221	1121	3743
222	1125	3735
223	1130	3730
224	1135	3723
225	1139	3715
226	1143	3707
227	1148	3702
228	1153	3696
229	1159	3693
230	1164	3688
231	1168	3683
232	1173	3677
233	1178	3671
234	1183	3665
235	1187	3658
236	1192	3652
237	1197	3648
238	1202	3642
239	1207	3636
240	1212	3633
241	1218	3630
242	1223	3626
243	1229	3623
244	1234	3617
245	1239	3612
246	1245	3610
247	1320	3806
248	1328	3809
249	1351	3855
250	1357	3851
251	1365	3851
252	1372	3851
253	1378	3848
254	1384	3845
255	1391	3842
256	1397	3837
257	1401	3830
258	1406	3824
259	1411	3817
260	1417	3812
261	1430	3826
262	1435	3821
263	1442	3820
264	1448	3815
265	1453	3809
266	1459	3803
267	1465	3800
268	1471	3796
269	1477	3791
270	1482	3784
271	1488	3780
272	1493	3775
273	1498	3769
274	1503	3762
275	1510	3760
276	1515	3754
277	1521	3748
278	1526	3741
279	1531	3734
280	1535	3727
281	1541	3722
282	1546	3715
283	1550	3707
284	1556	3701
285	1560	3694
286	1565	3687
287	1570	3680
288	1575	3673
289	1580	3666
290	1585	3661
291	1590	3655
292	1595	3647
293	1599	3640
294	1605	3635
295	1610	3628
296	1615	3621
297	1620	3615
298	1625	3609
299	1630	3602
300	1635	3596
301	1639	3589
302	1644	3582
303	1649	3576
304	1655	3570
305	1660	3564
306	1664	3556
307	1669	3550
308	1674	3543
309	1679	3537
310	1684	3530
311	1689	3524
312	1694	3519
313	1699	3513
314	1704	3506
315	1709	3499
316	1713	3492
317	1718	3486
318	1723	3479
319	1728	3472
320	1733	3466
321	1738	3460
322	1742	3453
323	1747	3447
324	1753	3441
325	1757	3434
326	1762	3428
327	1768	3422
328	1772	3416
329	1777	3409
330	1782	3402
331	1787	3396
332	1792	3390
333	1796	3384
334	1801	3376
335	1806	3370
336	1810	3363
337	1815	3357
338	1820	3351
339	1825	3344
340	1829	3337
341	1834	3331
342	1839	3324
343	1843	3317
344	1848	3311
345	1853	3304
346	1857	3297
347	1861	3290
348	1866	3283
349	1871	3276
350	1875	3269
351	1880	3264
352	1886	3259
353	1892	3256
354	1898	3251
355	1904	3247
356	1909	3241
357	1915	3237
358	1921	3232
359	1927	3228
360	1932	3222
361	1939	3219
362	1946	3216
363	1951	3212
364	1957	3207
365	1963	3203
366	1968	3197
367	1976	3196
368	1983	3192
369	1989	3187
370	1997	3187
371	2003	3183
372	2033	3216
373	2054	3235
374	2084	3268
375	2097	3274
376	2103	3269
377	2108	3263
378	2114	3258
379	2119	3252
380	2136	3263
381	2148	3268
382	2160	3271
383	2169	3270
384	2193	3292
385	2201	3291
386	2213	3294
387	2219	3288
388	2225	3284
389	2230	3277
390	2235	3269
391	2241	3264
392	2246	3257
393	2251	3251
394	2257	3245
395	2266	3245
396	2271	3239
397	2277	3232
398	2282	3226
399	2287	3220
400	2293	3214
401	2298	3207
402	2303	3200
403	2309	3195
404	2314	3189
405	2320	3183
406	2326	3178
407	2331	3172
408	2336	3165
409	2342	3159
410	2348	3153
411	2353	3148
412	2359	3141
413	2364	3135
414	2372	3132
415	2381	3131
416	2389	3129
417	2395	3123
418	2400	3117
419	2406	3111
420	2412	3105
421	2417	3099
422	2423	3093
423	2428	3087
424	2433	3081
425	2439	3074
426	2444	3068
427	2447	3059
428	2453	3053
429	2457	3046
430	2462	3039
431	2466	3032
432	2471	3025
433	2476	3018
434	2481	3012
435	2487	3006
436	2491	2999
437	2496	2992
438	2500	2985
439	2505	2978
440	2510	2971
441	2514	2964
442	2519	2957
443	2524	2951
444	2529	2944
445	2535	2938
